Keyword or keyphrase,Average monthly searches,3-month change (%),Year-over-year change (%),Competition (low/medium/high),Competition indexed value (0-100),Top of page bid low range,Top of page bid high range
botox near me,8100,5,-2,high,88,4.50,12.00
botox injections,6600,12,8,high,92,5.20,14.30
botox for wrinkles,4400,8,15,medium,67,3.80,10.50
botox treatment,3600,-3,2,medium,72,4.10,11.20
botox cost,2900,18,25,high,85,6.00,15.80
botox before and after,2200,22,18,low,43,2.90,7.40
botox forehead,1800,6,12,medium,58,3.50,9.20
botox crow's feet,1600,14,20,medium,61,3.70,9.80
botox side effects,1300,-8,-12,low,39,2.40,6.10
botox lip flip,1100,35,45,low,41,2.60,6.80
botox eyebrow lift,880,28,38,medium,65,4.20,11.50
botox migraine,720,15,22,medium,69,4.80,13.20
botox jaw,590,42,55,low,44,2.80,7.20
botox under eyes,480,19,31,medium,62,3.90,10.10
botox frequency,290,8,5,low,35,2.20,5.60
botox consultation,240,25,33,low,38,2.50,6.40
botox maintenance,180,12,18,low,32,1.90,4.80
botox recovery,150,-5,-8,low,28,1.60,4.20
botox alternatives,140,22,35,low,30,1.80,4.60
botox touch up,120,18,28,low,26,1.50,3.90